TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
b_b010312,D02,b010312,1;21;22;24;27;,2022-10-29,2022-10-31,대중교통 등,,1;21;22;24;27;,21;22;26
b_b005266,D02,b005266,21;22;23;24;26;,2022-10-12,2022-10-14,자가용,,21;22;23;24;26;,12;22;3
d_d000296,D01,d000296,2;,2022-08-18,2022-08-22,대중교통 등,40세 이상 자녀 동반 여행,2;,2;28;12
d_d002565,D01,d002565,22;23;,2022-10-29,2022-11-01,자가용,,22;23;,22;23;2
d_d006390,D01,d006390,2;22;4;5;6;,2022-10-15,2022-10-19,대중교통 등,39세 이하 3인 이상 친구,2;22;4;5;6;,5;22;6
d_d003854,D01,d003854,2;3;1;7;8;9;,2022-10-13,2022-10-15,자가용,,2;3;1;7;8;9;,8;22;4
d_d007597,D01,d007597,1;2;3;4;5;,2022-10-25,2022-10-28,자가용,,1;2;3;4;5;,11;6;12
d_d006739,D01,d006739,23;24;26;27;28;,2022-10-24,2022-10-28,대중교통 등,,23;24;26;27;28;,28;24;5
d_d000275,D01,d000275,1;2;3;4;5;,2022-08-23,2022-08-26,대중교통 등,,1;2;3;4;5;,11;4;22
c_c000085,D02,c000085,1;22;3;4;9;,2022-08-07,2022-08-11,자가용,,1;,23;5;2
d_d003259,D01,d003259,10;12;2;23;28;,2022-10-17,2022-10-19,자가용,,10;12;2;23;28;,22;7;4
b_b006208,D02,b006208,21;22;24;26;27;,2022-10-05,2022-10-07,자가용,,21;22;24;26;27;,2;10;21
b_b001355,D02,b001355,1;2;3;4;5;,2022-08-20,2022-08-24,자가용,,1;2;3;4;5;,5;3;21
d_d007987,D01,d007987,21;22;26;4;,2022-10-27,2022-11-01,대중교통 등,,21;22;26;4;,22;26;21
d_d002379,D01,d002379,1;2;24;26;28;,2022-10-05,2022-10-10,자가용,,1;2;24;26;28;,11;26;24
b_b005802,D02,b005802,1;21;5;6;9;,2022-09-30,2022-10-02,대중교통 등,,1;21;5;6;9;,21;6;1
d_d004837,D01,d004837,22;23;27;,2022-10-24,2022-10-27,대중교통 등,,22;23;27;,22;27;23
d_d003939,D01,d003939,21;1;22;28;6;,2022-10-10,2022-10-11,자가용,,21;1;22;28;6;,28;21;1
a_a007331,D02,a007331,22;25;6;,2022-10-12,2022-10-13,,,22;25;6;,25;6;22
d_d009270,D01,d009270,24;26;,2022-10-29,2022-11-01,대중교통 등,,24;26;,26;22;24
d_d010159,D01,d010159,1;11;2;3;6;,2022-11-03,2022-11-06,대중교통 등,,1;11;2;3;6;,1;3;23
d_d003397,D01,d003397,21;5;7;,2022-10-22,2022-10-24,자가용,,21;5;7;,21;7;22
d_d010178,D01,d010178,2;23;3;,2022-10-29,2022-10-31,자가용,,2;23;3;,23;3;6
d_d012397,D01,d012397,6;,2022-11-10,2022-11-11,,,6;,6;24;27
c_c001508,D02,c001508,3;6;,2022-08-29,2022-09-01,자가용,,3;6;,3;6;4
d_d009260,D01,d009260,2;5;10;7;22;23;24;26;,2022-11-02,2022-11-05,대중교통 등,39세 이하 커플 여행,2;5;10;7;22;23;24;26;,23;10;27
d_d010399,D01,d010399,1;5;6;7;9;22;23;24;21;,2022-11-09,2022-11-11,대중교통 등,,1;5;6;7;9;22;23;24;21;,21;23;22
b_b005639,D02,b005639,21;24;27;3;,2022-09-30,2022-10-01,대중교통 등,,21;24;27;3;,24;3;21
a_a008260,D02,a008260,22;,2022-10-15,2022-10-17,자가용,,22;,22;24;26
d_d002476,D01,d002476,2;21;22;23;24;,2022-10-01,2022-10-05,자가용,39세 이하 3인 이상 친구,2;21;22;23;24;,23;2;22
d_d002079,D01,d002079,1;11;12;2;9;,2022-10-16,2022-10-21,대중교통 등,,1;11;12;2;9;,2;6;1
d_d004970,D01,d004970,21;25;3;5;,2022-10-18,2022-10-19,자가용,,21;25;3;5;,1;26;22
d_d001522,D01,d001522,1;2;26;4;,2022-09-26,2022-10-01,대중교통 등,40세 이상 3대 동반 여행,1;2;26;4;,4;2;26
d_d005964,D01,d005964,22;23;24;5;7;,2022-10-20,2022-10-24,대중교통 등,,22;23;24;5;7;,22;24;21
d_d005563,D01,d005563,2;2;3;4;5;6;7;8;9;10;11;12;28;21;22;28;24;26;28;28;,2022-10-20,2022-10-23,대중교통 등,,2;2;3;4;5;6;7;8;9;10;11;12;28;21;22;28;24;26;28;28;,9;5;24
d_d003620,D01,d003620,6;2;,2022-10-07,2022-10-10,대중교통 등,,6;2;,6;2;23
d_d005539,D01,d005539,8;22;,2022-10-15,2022-10-17,자가용,,8;22;,8;22;6
d_d006731,D01,d006731,2;21;22;23;24;,2022-10-20,2022-10-25,자가용,,2;21;22;23;24;,21;22;24
b_b000051,D02,b000051,23;,2022-09-10,2022-09-12,자가용,,2;,23;3;21
a_a014141,D02,a014141,3;,2022-10-30,2022-10-31,자가용,,3;,3;11;21
d_d001464,D01,d001464,21;22;26;3;5;,2022-09-17,2022-09-18,자가용,,21;22;26;3;5;,3;24;1
a_a007875,D02,a007875,21;22;,2022-10-15,2022-10-16,대중교통 등,,21;22;,22;21;26
b_b004383,D02,b004383,1;11;22;24;8;,2022-09-25,2022-09-27,자가용,경상권 외에 거주하는 39세 이하 커플,1;11;22;24;8;,8;11;22
d_d000364,D01,d000364,1;23;24;4;,2022-09-05,2022-09-08,대중교통 등,,1;23;24;4;,21;2;23
d_d001192,D01,d001192,21;23;24;28;5;,2022-09-24,2022-09-27,자가용,,21;23;24;28;5;,5;24;21
b_b000187,D02,b000187,21;23;24;26;,2022-08-26,2022-08-29,자가용,경상권 외에 거주하는 39세 이하 커플,2;,21;26;1
d_d004432,D01,d004432,1;2;4;7;11;23;24;26;27;21;22;6;,2022-10-09,2022-10-13,대중교통 등,,1;2;4;7;11;23;24;26;27;21;22;6;,2;11;22
d_d002666,D01,d002666,2;27;28;3;9;,2022-10-25,2022-10-28,대중교통 등,,2;27;28;3;9;,28;1;24
a_a014437,D02,a014437,2;21;26;27;6;,2022-10-30,2022-11-02,자가용,,2;21;26;27;6;,26;4;2
d_d010012,D01,d010012,11;21;22;26;27;,2022-10-31,2022-11-01,자가용,,11;21;22;26;27;,3;11;21
d_d001585,D01,d001585,1;22;23;3;5;,2022-09-28,2022-10-05,대중교통 등,39세 이하 커플 여행,1;22;23;3;5;,27;3;5
d_d001041,D01,d001041,22;,2022-08-29,2022-09-02,자가용,,22;,22;1;6
d_d008247,D01,d008247,6;10;12;22;2;3;4;23;24;,2022-10-27,2022-11-01,자가용,39세 이하 부모 동반 여행,6;10;12;22;2;3;4;23;24;,22;2;11
d_d000672,D01,d000672,5;,2022-08-20,2022-08-23,대중교통 등,,5;,5;4;27
d_d002308,D01,d002308,13;2;22;3;6;,2022-10-07,2022-10-12,대중교통 등,,13;2;22;3;6;,13;2;3
d_d000787,D01,d000787,1;27;5;,2022-08-20,2022-08-23,대중교통 등,39세 이하 커플 여행,1;27;5;,1;5;27
a_a000651,D02,a000651,21;,2022-08-27,2022-08-28,자가용,,21;,21;3;24
d_d005584,D01,d005584,4;,2022-10-13,2022-10-14,,,4;,1;3;4
d_d004914,D01,d004914,1;10;2;26;5;,2022-10-24,2022-10-27,대중교통 등,39세 이하 커플 여행,1;10;2;26;5;,2;22;5
a_a001302,D02,a001302,22;24;27;3;6;,2022-09-02,2022-09-05,대중교통 등,,22;24;27;3;6;,3;6;27
d_d003517,D01,d003517,12;22;24;4;7;,2022-10-15,2022-10-19,대중교통 등,39세 이하 커플 여행,12;22;24;4;7;,22;24;26
d_d009467,D01,d009467,4;1;22;24;26;21;6;27;23;,2022-10-29,2022-11-01,자가용,39세 이하 커플 여행,4;1;22;24;26;21;6;27;23;,22;24;5
d_d005789,D01,d005789,1;2;22;4;8;,2022-10-26,2022-10-28,자가용,,1;2;22;4;8;,4;22;6
d_d000285,D01,d000285,2;23;24;4;6;,2022-08-19,2022-08-23,자가용,,2;23;24;4;6;,23;6;2
d_d001983,D01,d001983,1;3;4;5;9;,2022-10-17,2022-10-20,자가용,39세 이하 부부 여행,1;3;4;5;9;,4;3;9
d_d002808,D01,d002808,6;1;21;2;,2022-10-22,2022-10-24,대중교통 등,39세 이하 부모 동반 여행,6;1;21;2;,1;6;2
a_a000409,D02,a000409,22;,2022-08-27,2022-08-29,자가용,,22;,1;22;24
d_d003058,D01,d003058,21;28;24;22;,2022-10-26,2022-10-30,대중교통 등,,21;28;24;22;,21;28;22
d_d003608,D01,d003608,2;22;23;24;25;,2022-10-09,2022-10-11,자가용,,2;22;23;24;25;,2;23;3
d_d006210,D02,d006210,21;22;28;,2022-10-15,2022-10-17,대중교통 등,,21;22;28;,21;22;28
a_a000007,D02,a000007,10;23;24;26;7;,2022-08-19,2022-08-22,자가용,,2;,2;3;10
d_d009311,D01,d009311,23;12;10;1;22;26;,2022-10-29,2022-10-31,자가용,,23;12;10;1;22;26;,22;26;12
d_d007149,D01,d007149,6;9;23;21;1;2;12;,2022-10-24,2022-10-28,대중교통 등,39세 이하 커플 여행,6;9;23;21;1;2;12;,22;27;2
d_d007848,D01,d007848,10;27;28;3;6;,2022-11-04,2022-11-07,대중교통 등,,10;27;28;3;6;,22;27;2
d_d002440,D01,d002440,11;2;24;28;6;,2022-10-09,2022-10-13,대중교통 등,40세 이상 자녀 동반 여행,11;2;24;28;6;,11;6;24
d_d001415,D01,d001415,22;,2022-09-28,2022-10-01,대중교통 등,,22;,22;10;3
d_d009485,D01,d009485,12;,2022-10-28,2022-10-29,자가용,,12;,12;24;27
d_d010245,D01,d010245,1;12;22;24;,2022-10-30,2022-11-04,자가용,39세 이하 부부 여행,1;12;22;24;,22;1;2
d_d001748,D01,d001748,24;5;,2022-09-25,2022-09-27,대중교통 등,,24;5;,5;24;26
b_b003039,D02,b003039,10;2;5;,2022-08-20,2022-08-22,자가용,경상권에 거주하는 39세 이하 3인 이상 친구,10;2;5;,5;10;2
d_d012297,D01,d012297,22;6;,2022-11-09,2022-11-10,,,22;6;,26;22;1
d_d000470,D01,d000470,1;13;2;5;6;,2022-08-19,2022-08-21,자가용,,1;13;2;5;6;,22;26;2
b_b002162,D02,b002162,1;2;28;3;5;,2022-08-19,2022-08-22,대중교통 등,경상권에 거주하는 40세 이상 3인 이상 친구,1;2;28;3;5;,28;3;1
a_a012239,D02,a012239,2;22;23;,2022-10-26,2022-10-28,자가용,수도권 거주 39세 이하 자녀 동반,2;22;23;,23;22;2
b_b004416,D02,b004416,12;21;24;26;27;,2022-09-23,2022-09-25,자가용,,12;21;24;26;27;,26;6;24
d_d003862,D01,d003862,1;2;4;6;7;,2022-10-09,2022-10-13,자가용,,1;2;4;6;7;,1;2;10
a_a001362,D02,a001362,1;22;24;26;8;,2022-09-03,2022-09-05,자가용,수도권 거주 39세 이하 커플,1;22;24;26;8;,8;3;22
d_d002864,D01,d002864,5;,2022-10-14,2022-10-16,자가용,,5;,8;11;22
d_d005979,D01,d005979,1;22;25;28;4;,2022-10-13,2022-10-17,자가용,,1;22;25;28;4;,9;25;22
d_d004918,D01,d004918,6;4;22;1;26;28;27;24;,2022-10-18,2022-10-22,자가용,39세 이하 3인 이상 친구,6;4;22;1;26;28;27;24;,6;1;22
c_c004517,D02,c004517,1;2;23;,2022-10-05,2022-10-07,대중교통 등,호남권에 거주하는 39세 이하 커플,1;2;23;,2;23;6
b_b012228,D02,b012228,1;22;6;,2022-10-29,2022-10-30,대중교통 등,경상권에 거주하는 39세 이하 커플,1;22;6;,6;9;22
d_d003272,D01,d003272,1;24;23;28;,2022-10-05,2022-10-08,대중교통 등,,1;24;23;28;,28;1;23
d_d006946,D01,d006946,5;21;22;23;26;27;6;10;,2022-10-28,2022-10-30,자가용,,5;21;22;23;26;27;6;10;,6;5;26
d_d005498,D01,d005498,21;22;,2022-10-29,2022-10-30,자가용,,21;22;,21;22;1
d_d000846,D01,d000846,23;24;,2022-09-01,2022-09-05,자가용,,23;24;,23;24;4
d_d008026,D01,d008026,1;11;2;4;6;,2022-10-27,2022-11-01,자가용,,1;11;2;4;6;,11;21;22
d_d004179,D01,d004179,10;21;22;23;6;,2022-10-11,2022-10-13,자가용,,10;21;22;23;6;,22;10;6
d_d003546,D02,d003546,1;2;28;3;4;,2022-10-09,2022-10-12,자가용,,1;2;28;3;4;,2;11;26
a_a003310,D02,a003310,1;22;23;4;9;,2022-09-26,2022-09-28,자가용,,1;22;23;4;9;,23;2;22
d_d001618,D01,d001618,2;28;5;6;,2022-09-30,2022-10-03,대중교통 등,39세 이하 커플 여행,2;28;5;6;,2;5;22
a_a003265,D02,a003265,10;2;22;23;26;,2022-10-14,2022-10-16,자가용,수도권 거주 39세 이하 자녀 동반,10;2;22;23;26;,22;23;6
d_d003329,D01,d003329,23;24;25;26;27;,2022-10-05,2022-10-13,자가용,,23;24;25;26;27;,9;7;6
d_d010328,D01,d010328,1;13;22;26;6;,2022-10-31,2022-11-04,자가용,39세 이하 커플 여행,1;13;22;26;6;,22;6;2
d_d005129,D01,d005129,1;2;27;28;,2022-10-13,2022-10-16,자가용,,1;2;27;28;,2;28;27
d_d001178,D01,d001178,1;2;23;,2022-09-24,2022-09-27,대중교통 등,,1;2;23;,23;1;2
d_d004084,D01,d004084,28;,2022-10-20,2022-10-23,대중교통 등,,28;,11;26;27
d_d003649,D01,d003649,5;,2022-10-24,2022-10-27,대중교통 등,,5;,5;27;22
d_d006063,D01,d006063,28;12;21;22;,2022-10-22,2022-10-24,자가용,,28;12;21;22;,12;28;24
d_d001925,D01,d001925,1;22;5;,2022-10-01,2022-10-04,대중교통 등,39세 이하 3인 이상 친구,1;22;5;,5;24;22
d_d000381,D01,d000381,11;2;22;24;5;,2022-08-25,2022-08-30,대중교통 등,,11;2;22;24;5;,5;6;21
b_b009811,D02,b009811,12;13;22;24;26;,2022-10-29,2022-10-31,자가용,,12;13;22;24;26;,22;24;21
d_d007774,D01,d007774,1;2;3;4;5;,2022-10-28,2022-10-31,대중교통 등,,1;2;3;4;5;,6;22;1
d_d001331,D01,d001331,1;21;22;24;26;,2022-09-11,2022-09-14,대중교통 등,40세 이상 자녀 동반 여행,1;21;22;24;26;,21;22;3
d_d009804,D01,d009804,22;,2022-11-05,2022-11-07,자가용,,22;,8;22;3
a_a000220,D02,a000220,22;,2022-08-22,2022-08-25,자가용,,22;,5;22;23
d_d007816,D01,d007816,22;23;24;26;,2022-10-25,2022-10-30,대중교통 등,,22;23;24;26;,24;26;1
d_d001631,D01,d001631,2;22;,2022-09-22,2022-09-25,대중교통 등,39세 이하 커플 여행,2;22;,2;22;26
d_d003742,D01,d003742,2;22;23;,2022-10-10,2022-10-14,자가용,39세 이하 커플 여행,2;22;23;,22;23;2
d_d011538,D01,d011538,1;22;23;,2022-11-02,2022-11-05,대중교통 등,,1;22;23;,22;1;23
d_d003445,D01,d003445,22;26;7;4;1;2;,2022-10-23,2022-10-26,대중교통 등,,22;26;7;4;1;2;,22;6;2
a_a007237,D02,a007237,6;22;24;,2022-10-16,2022-10-17,,수도권 거주 40세 이상 부모 동반,6;22;24;,3;21;6
d_d001785,D01,d001785,1;28;3;6;9;,2022-10-04,2022-10-07,대중교통 등,,1;28;3;6;9;,28;3;21
a_a011414,D02,a011414,3;3;3;3;3;3;3;3;3;3;,2022-10-29,2022-10-31,자가용,,3;3;3;3;3;3;3;3;3;3;,3;10;22
d_d006139,D01,d006139,1;2;22;24;6;,2022-10-25,2022-10-28,대중교통 등,,1;2;22;24;6;,1;22;24
d_d001521,D01,d001521,1;11;12;2;23;,2022-09-24,2022-09-28,대중교통 등,,1;11;12;2;23;,23;1;5
a_a005187,D02,a005187,8;,2022-10-15,2022-10-16,,,8;,8;21;22
d_d007660,D01,d007660,23;6;28;1;12;10;,2022-10-28,2022-10-30,자가용,,23;6;28;1;12;10;,2;24;23
d_d009374,D01,d009374,2;24;22;26;21;28;,2022-11-05,2022-11-07,자가용,,2;24;22;26;21;28;,2;26;21
d_d010107,D01,d010107,1;27;12;,2022-11-03,2022-11-06,대중교통 등,,1;27;12;,1;12;27
d_d001504,D01,d001504,1;4;5;6;7;,2022-09-26,2022-09-27,대중교통 등,,1;4;5;6;7;,5;24;1
d_d001655,D01,d001655,22;24;28;,2022-09-23,2022-09-26,대중교통 등,,22;24;28;,22;24;28
d_d003591,D01,d003591,1;26;6;,2022-10-16,2022-10-17,자가용,,1;26;6;,22;26;24
a_a015262,D02,a015262,8;22;21;24;1;26;13;,2022-10-29,2022-11-01,자가용,수도권 거주 39세 이하 부부,8;22;21;24;1;26;13;,8;3;1
d_d006783,D01,d006783,24;25;26;27;28;,2022-10-23,2022-10-25,대중교통 등,,24;25;26;27;28;,28;21;4
d_d005637,D01,d005637,22;23;24;27;4;,2022-10-14,2022-10-17,대중교통 등,39세 이하 커플 여행,22;23;24;27;4;,22;24;23
d_d000200,D01,d000200,21;,2022-09-04,2022-09-07,대중교통 등,,21;,21;26;24
c_c000227,D02,c000227,10;21;3;4;8;,2022-08-12,2022-08-15,자가용,,3;,3;24;28
d_d003685,D01,d003685,2;21;22;23;26;,2022-10-09,2022-10-11,자가용,,2;21;22;23;26;,22;23;4
d_d000699,D01,d000699,2;,2022-08-31,2022-09-03,자가용,39세 이하 커플 여행,2;,2;1;22
d_d003212,D01,d003212,12;2;22;,2022-10-15,2022-10-19,대중교통 등,39세 이하 커플 여행,12;2;22;,22;1;24
d_d003054,D01,d003054,10;22;5;6;7;,2022-10-23,2022-10-25,자가용,,10;22;5;6;7;,7;10;5
d_d000157,D01,d000157,2;24;3;4;5;,2022-08-10,2022-08-16,대중교통 등,,2;,21;28;5
d_d011423,D01,d011423,10;22;9;,2022-11-04,2022-11-07,자가용,,10;22;9;,9;10;22
d_d010155,D01,d010155,2;23;22;10;5;7;26;,2022-11-02,2022-11-06,대중교통 등,39세 이하 커플 여행,2;23;22;10;5;7;26;,22;2;1
c_c003035,D02,c003035,10;22;23;26;27;,2022-09-25,2022-09-27,자가용,,10;22;23;26;27;,10;23;22
c_c000260,D02,c000260,1;,2022-08-19,2022-08-22,자가용,,1;,6;2;1
d_d012491,D01,d012491,1;12;22;24;26;,2022-11-09,2022-11-10,,,1;12;22;24;26;,3;22;24
d_d010195,D01,d010195,21;22;27;6;,2022-11-03,2022-11-07,대중교통 등,,21;22;27;6;,1;21;6
a_a002098,D02,a002098,12;13;24;27;3;,2022-09-25,2022-09-26,자가용,,12;13;24;27;3;,27;3;13
d_d006191,D01,d006191,2;22;23;5;6;,2022-10-22,2022-10-24,대중교통 등,,2;22;23;5;6;,22;23;6
a_a001497,D02,a001497,2;3;4;5;6;,2022-09-02,2022-09-05,자가용,수도권 거주 39세 이하 부부,2;3;4;5;6;,3;6;2
d_d012301,D01,d012301,12;27;,2022-11-11,2022-11-12,,,12;27;,21;22;24
d_d012272,D01,d012272,22;,2022-11-12,2022-11-13,,,22;,22;5;1
a_a006666,D02,a006666,11;23;6;21;22;24;,2022-10-30,2022-10-31,자가용,,11;23;6;21;22;24;,11;23;1
d_d007863,D01,d007863,10;27;28;7;,2022-10-27,2022-10-31,자가용,,10;27;28;7;,10;24;1
d_d000744,D01,d000744,1;22;24;26;27;,2022-09-01,2022-09-04,대중교통 등,,1;22;24;26;27;,22;26;1
d_d000968,D01,d000968,22;23;7;,2022-08-26,2022-08-29,대중교통 등,,22;23;7;,23;22;7
b_b001152,D02,b001152,1;26;27;28;5;,2022-08-24,2022-08-27,자가용,,1;26;27;28;5;,26;28;12
d_d009147,D01,d009147,1;23;24;3;7;,2022-10-29,2022-11-01,대중교통 등,,1;23;24;3;7;,23;24;21
d_d002839,D01,d002839,2;23;22;,2022-10-15,2022-10-18,자가용,39세 이하 자녀 동반 여행,2;23;22;,2;23;22
d_d005587,D01,d005587,22;26;,2022-10-14,2022-10-15,,,22;26;,21;22;26
d_d003169,D01,d003169,2;21;22;23;24;,2022-10-09,2022-10-12,대중교통 등,,2;21;22;23;24;,24;28;4
d_d007552,D01,d007552,1;22;4;5;7;,2022-10-28,2022-11-01,대중교통 등,,1;22;4;5;7;,22;28;1
d_d001757,D01,d001757,5;,2022-09-24,2022-09-27,대중교통 등,,5;,5;22;1
d_d000084,D01,d000084,2;21;23;5;7;,2022-08-13,2022-08-17,대중교통 등,,5;,3;5;6
d_d006863,D01,d006863,2;22;23;26;28;,2022-10-22,2022-10-27,자가용,,2;22;23;26;28;,22;24;3
d_d001259,D01,d001259,2;3;,2022-09-18,2022-09-21,자가용,,2;3;,2;3;24
d_d003636,D01,d003636,6;22;28;1;3;4;,2022-10-13,2022-10-14,자가용,,6;22;28;1;3;4;,6;26;4
d_d009443,D01,d009443,23;24;26;27;28;,2022-10-30,2022-11-02,자가용,,23;24;26;27;28;,26;27;28
c_c004502,D02,c004502,5;8;,2022-10-08,2022-10-10,자가용,,5;8;,5;8;24
d_d009403,D01,d009403,2;23;27;,2022-11-02,2022-11-05,대중교통 등,,2;23;27;,2;5;22
d_d009933,D01,d009933,1;2;22;4;6;,2022-10-31,2022-11-04,대중교통 등,39세 이하 커플 여행,1;2;22;4;6;,24;5;1
d_d002085,D01,d002085,1;2;5;6;7;,2022-09-29,2022-10-03,대중교통 등,39세 이하 커플 여행,1;2;5;6;7;,1;22;2
a_a004667,D02,a004667,1;10;2;6;7;,2022-10-30,2022-11-01,대중교통 등,수도권 거주 39세 이하 부부,1;10;2;6;7;,10;6;1
a_a006367,D02,a006367,5;22;26;,2022-10-08,2022-10-09,대중교통 등,수도권 거주 39세 이하 커플,5;22;26;,5;22;24
d_d005328,D01,d005328,23;,2022-10-15,2022-10-17,자가용,,23;,23;2;22
b_b003085,D02,b003085,2;22;23;5;8;,2022-08-29,2022-08-31,자가용,,2;22;23;5;8;,23;5;2
d_d001182,D01,d001182,1;12;22;26;6;,2022-09-18,2022-09-21,대중교통 등,40세 이상 자녀 동반 여행,1;12;22;26;6;,22;2;26
d_d001071,D01,d001071,22;24;26;4;7;,2022-08-25,2022-08-31,대중교통 등,,22;24;26;4;7;,26;22;5
d_d002166,D01,d002166,2;28;,2022-10-13,2022-10-20,대중교통 등,,2;28;,28;6;2
d_d001669,D01,d001669,22;,2022-09-23,2022-09-27,대중교통 등,,22;,22;24;28
d_d002087,D01,d002087,22;3;8;,2022-10-15,2022-10-20,자가용,,22;3;8;,3;8;22
d_d001296,D01,d001296,22;23;26;4;7;,2022-09-12,2022-09-14,대중교통 등,,22;23;26;4;7;,26;4;7
a_a012100,D02,a012100,1;3;4;12;10;24;28;,2022-10-29,2022-11-01,자가용,,1;3;4;12;10;24;28;,3;6;28
d_d006926,D01,d006926,24;8;,2022-10-29,2022-10-31,자가용,,24;8;,24;8;11
d_d006799,D01,d006799,21;22;5;,2022-10-21,2022-10-24,자가용,,21;22;5;,5;22;21
d_d003023,D01,d003023,1;21;24;26;28;,2022-10-19,2022-10-22,대중교통 등,,1;21;24;26;28;,1;3;26
d_d005089,D01,d005089,2;21;22;28;3;,2022-10-09,2022-10-11,자가용,,2;21;22;28;3;,11;26;22
c_c005057,D02,c005057,3;28;24;13;,2022-10-08,2022-10-09,,호남권에 거주하는 39세 이하 3인 이상 친구,3;28;24;13;,6;22;26
d_d002019,D01,d002019,12;21;27;5;6;,2022-10-01,2022-10-02,자가용,,12;21;27;5;6;,27;21;5
d_d000096,D01,d000096,1;11;2;5;9;,2022-08-13,2022-08-21,대중교통 등,40세 이상 자녀 동반 여행,1;,11;27;1
d_d012308,D01,d012308,2;21;26;,2022-11-11,2022-11-12,,,2;21;26;,11;21;22
b_b009857,D02,b009857,1;22;26;27;4;,2022-10-23,2022-10-24,대중교통 등,,1;22;26;27;4;,22;4;3
d_d000223,D01,d000223,2;22;5;,2022-08-20,2022-08-24,대중교통 등,39세 이하 커플 여행,2;22;5;,5;22;21
d_d004673,D01,d004673,21;22;23;28;5;,2022-10-21,2022-10-24,자가용,,21;22;23;28;5;,21;24;26
d_d002731,D01,d002731,22;,2022-10-01,2022-10-02,대중교통 등,,22;,22;1;4
b_b004327,D02,b004327,22;24;,2022-09-24,2022-09-26,자가용,,22;24;,22;24;21
d_d000415,D01,d000415,21;,2022-08-28,2022-09-01,대중교통 등,,21;,21;11;23
a_a005862,D02,a005862,2;22;,2022-10-02,2022-10-03,대중교통 등,,2;22;,22;9;2
d_d000302,D01,d000302,2;21;22;3;5;,2022-08-16,2022-08-20,대중교통 등,40세 이상 부모 동반 여행,2;21;22;3;5;,21;5;22
d_d002586,D01,d002586,1;22;4;5;,2022-09-30,2022-10-01,,39세 이하 부모 동반 여행,1;22;4;5;,4;5;22
d_d001514,D01,d001514,12;13;22;4;6;,2022-09-28,2022-10-02,대중교통 등,,12;13;22;4;6;,1;6;22
d_d001533,D01,d001533,23;5;,2022-09-30,2022-10-03,자가용,,23;5;,1;23;5
d_d007500,D01,d007500,27;22;24;26;1;,2022-10-25,2022-10-29,대중교통 등,39세 이하 3인 이상 친구,27;22;24;26;1;,22;26;1
d_d009861,D01,d009861,21;22;,2022-10-31,2022-11-04,대중교통 등,,21;22;,4;21;22
b_b006017,D02,b006017,1;4;,2022-10-09,2022-10-10,,,1;4;,4;1;9
d_d003576,D01,d003576,22;23;26;,2022-10-07,2022-10-09,대중교통 등,,22;23;26;,22;21;26
b_b005480,D02,b005480,22;26;8;,2022-09-29,2022-10-01,자가용,,22;26;8;,22;26;8
d_d006124,D01,d006124,2;3;7;12;28;25;27;26;24;23;22;21;6;9;,2022-10-19,2022-10-21,자가용,,2;3;7;12;28;25;27;26;24;23;22;21;6;9;,1;7;3
d_d000893,D01,d000893,1;2;28;4;5;,2022-08-25,2022-08-29,자가용,,1;2;28;4;5;,28;26;21
d_d000416,D01,d000416,1;3;4;6;7;,2022-08-28,2022-09-04,대중교통 등,39세 이하 커플 여행,1;3;4;6;7;,23;9;2
a_a000169,D02,a000169,23;,2022-08-05,2022-08-07,자가용,,2;,23;21;5
d_d000317,D01,d000317,1;2;22;5;6;,2022-08-30,2022-09-02,대중교통 등,39세 이하 부부 여행,1;2;22;5;6;,2;7;22
d_d012302,D01,d012302,6;,2022-11-13,2022-11-14,,,6;,1;24;3
d_d009818,D01,d009818,26;6;22;12;24;2;,2022-11-02,2022-11-05,자가용,,26;6;22;12;24;2;,2;6;22
d_d010113,D01,d010113,1;2;21;22;4;,2022-11-03,2022-11-07,대중교통 등,39세 이하 3인 이상 친구,1;2;21;22;4;,22;21;1
c_c006801,D02,c006801,1;22;23;24;26;,2022-10-15,2022-10-17,자가용,,1;22;23;24;26;,1;9;24
d_d001741,D01,d001741,11;22;23;26;28;,2022-10-19,2022-10-23,자가용,,11;22;23;26;28;,23;22;21
d_d003158,D01,d003158,22;26;28;24;24;1;,2022-10-17,2022-10-19,자가용,,22;26;28;24;24;1;,28;24;3
d_d012469,D01,d012469,22;26;28;,2022-11-10,2022-11-11,,,22;26;28;,22;28;1
d_d006148,D01,d006148,23;28;21;22;22;24;27;4;,2022-10-30,2022-11-01,자가용,,23;28;21;22;22;24;27;4;,21;22;7
d_d001016,D01,d001016,2;5;,2022-08-23,2022-08-27,자가용,40세 이상 3대 동반 여행,2;5;,5;2;1
d_d001282,D01,d001282,23;24;26;27;28;,2022-09-18,2022-09-21,대중교통 등,,23;24;26;27;28;,22;23;26
b_b002876,D02,b002876,1;21;22;27;28;,2022-08-23,2022-08-26,자가용,경상권에 거주하는 39세 이하 3인 이상 친구,1;21;22;27;28;,1;2;21
d_d002050,D01,d002050,1;22;23;,2022-10-12,2022-10-16,대중교통 등,,1;22;23;,23;22;1
d_d009439,D01,d009439,4;5;,2022-10-30,2022-11-03,대중교통 등,40세 이상 3인 이상 친구,4;5;,5;3;2
